5 97 5 97 5-97,5-97
60 86 44 87 60-86,44-87
27 93 28 92 27-93,28-92
45 62 45 84 45-62,45-84
1 60 2 42 1-60,2-42
1 1 1 99 1-1,1-99
7 77 27 41 7-77,27-41
6 96 96 96 6-96,96-96
17 97 17 96 17-97,17-96
1 1 1 99 1-1,1-99
28 90 29 32 28-90,29-32
38 64 38 40 38-64,38-40
8 91 7 92 8-91,7-92
21 77 20 95 21-77,20-95
48 98 2 99 48-98,2-99
7 30 8 30 7-30,8-30
5 46 5 5 5-46,5-5
52 73 35 74 52-73,35-74
6 92 5 92 6-92,5-92
3 85 3 84 3-85,3-84
2 86 2 2 2-86,2-2
23 34 22 34 23-34,22-34
29 42 29 67 29-42,29-67
38 68 38 67 38-68,38-67
17 92 18 64 17-92,18-64
6 19 6 90 6-19,6-90
8 97 79 97 8-97,79-97
2 40 2 30 2-40,2-30
8 8 8 94 8-8,8-94
81 95 81 87 81-95,81-87
46 56 46 46 46-56,46-46
26 79 26 80 26-79,26-80
8 30 4 33 8-30,4-33
5 79 78 79 5-79,78-79
7 93 6 94 7-93,6-94
12 65 64 65 12-65,64-65
13 13 13 83 13-13,13-83
8 98 97 98 8-98,97-98
83 88 84 87 83-88,84-87
22 88 21 88 22-88,21-88
59 86 65 85 59-86,65-85
23 96 22 97 23-96,22-97
70 96 70 70 70-96,70-70
14 29 15 20 14-29,15-20
22 75 21 75 22-75,21-75
9 79 9 80 9-79,9-80
16 96 17 95 16-96,17-95
23 72 60 71 23-72,60-71
9 81 9 81 9-81,9-81
38 92 69 91 38-92,69-91
2 46 1 85 2-46,1-85
28 71 28 71 28-71,28-71
1 12 1 2 1-12,1-2
17 34 17 72 17-34,17-72
88 88 5 88 88-88,5-88
34 78 34 77 34-78,34-77
12 71 12 70 12-71,12-70
14 69 68 69 14-69,68-69
21 81 21 21 21-81,21-21
3 30 4 29 3-30,4-29
21 40 22 39 21-40,22-39
3 93 2 93 3-93,2-93
28 46 27 53 28-46,27-53
18 18 17 86 18-18,17-86
10 96 11 78 10-96,11-78
6 88 4 89 6-88,4-89
7 98 7 98 7-98,7-98
26 92 26 57 26-92,26-57
4 4 4 99 4-4,4-99
11 99 62 74 11-99,62-74
4 27 4 9 4-27,4-9
38 65 38 66 38-65,38-66
24 56 55 55 24-56,55-55
2 98 3 8 2-98,3-8
63 87 62 87 63-87,62-87
96 97 15 98 96-97,15-98
68 78 78 78 68-78,78-78
30 57 53 56 30-57,53-56
26 82 26 81 26-82,26-81
24 92 24 91 24-92,24-91
42 62 43 57 42-62,43-57
6 50 6 50 6-50,6-50
40 85 41 73 40-85,41-73
3 99 4 98 3-99,4-98
14 24 13 57 14-24,13-57
3 96 3 3 3-96,3-3
17 20 16 63 17-20,16-63
2 14 2 27 2-14,2-27
12 99 99 99 12-99,99-99
23 93 24 32 23-93,24-32
4 26 3 58 4-26,3-58
6 6 6 97 6-6,6-97
3 34 2 95 3-34,2-95
66 85 66 84 66-85,66-84
8 65 9 40 8-65,9-40
4 41 5 28 4-41,5-28
5 94 1 95 5-94,1-95
26 26 26 41 26-26,26-41
7 92 7 95 7-92,7-95
1 1 1 32 1-1,1-32
7 77 6 83 7-77,6-83
73 89 72 95 73-89,72-95
23 23 23 74 23-23,23-74
3 99 3 3 3-99,3-3
15 62 15 62 15-62,15-62
40 65 41 58 40-65,41-58
40 65 39 66 40-65,39-66
86 88 85 89 86-88,85-89
6 94 82 93 6-94,82-93
4 4 3 55 4-4,3-55
51 53 49 54 51-53,49-54
4 62 61 61 4-62,61-61
37 39 38 39 37-39,38-39
35 76 36 60 35-76,36-60
46 46 46 46 46-46,46-46
12 46 10 47 12-46,10-47
58 58 53 89 58-58,53-89
3 13 4 12 3-13,4-12
6 93 5 98 6-93,5-98
17 90 18 40 17-90,18-40
7 7 7 90 7-7,7-90
2 94 1 94 2-94,1-94
10 89 11 44 10-89,11-44
19 68 50 67 19-68,50-67
73 97 73 93 73-97,73-93
9 92 8 93 9-92,8-93
19 89 19 95 19-89,19-95
70 79 24 80 70-79,24-80
49 49 49 87 49-49,49-87
2 3 2 50 2-3,2-50
5 95 6 95 5-95,6-95
20 57 16 66 20-57,16-66
38 69 68 68 38-69,68-68
30 90 30 84 30-90,30-84
29 51 30 51 29-51,30-51
55 55 42 56 55-55,42-56
9 96 8 97 9-96,8-97
58 96 58 58 58-96,58-58
5 69 5 47 5-69,5-47
20 93 21 84 20-93,21-84
7 95 8 94 7-95,8-94
4 17 4 21 4-17,4-21
10 23 10 88 10-23,10-88
4 52 4 52 4-52,4-52
29 29 2 30 29-29,2-30
7 25 7 25 7-25,7-25
7 94 8 80 7-94,8-80
16 97 15 98 16-97,15-98
2 94 2 2 2-94,2-2
8 78 8 78 8-78,8-78
1 95 1 94 1-95,1-94
54 76 54 77 54-76,54-77
41 86 2 86 41-86,2-86
9 94 9 94 9-94,9-94
2 98 98 98 2-98,98-98
34 44 33 44 34-44,33-44
16 66 15 79 16-66,15-79
43 95 43 95 43-95,43-95
37 70 36 71 37-70,36-71
64 78 63 79 64-78,63-79
30 79 30 78 30-79,30-78
69 75 69 77 69-75,69-77
1 99 2 96 1-99,2-96
15 75 15 82 15-75,15-82
71 93 70 93 71-93,70-93
23 23 23 91 23-23,23-91
75 92 79 84 75-92,79-84
2 93 2 2 2-93,2-2
22 91 22 90 22-91,22-90
94 94 4 94 94-94,4-94
39 75 39 39 39-75,39-39
70 89 70 89 70-89,70-89
19 81 19 80 19-81,19-80
42 73 42 59 42-73,42-59
14 40 14 41 14-40,14-41
47 58 46 61 47-58,46-61
92 93 44 93 92-93,44-93
17 46 18 46 17-46,18-46
30 84 53 83 30-84,53-83
14 75 32 74 14-75,32-74
61 79 47 80 61-79,47-80
31 70 30 70 31-70,30-70
50 76 51 51 50-76,51-51
70 87 71 87 70-87,71-87
25 80 7 98 25-80,7-98
5 16 4 92 5-16,4-92
34 85 34 34 34-85,34-34
12 12 11 83 12-12,11-83
85 98 86 88 85-98,86-88
15 97 15 96 15-97,15-96
9 58 9 9 9-58,9-9
97 98 5 98 97-98,5-98
78 89 77 89 78-89,77-89
4 24 3 33 4-24,3-33
15 99 16 98 15-99,16-98
6 80 6 37 6-80,6-37
20 94 21 57 20-94,21-57
7 72 7 7 7-72,7-7
14 92 14 98 14-92,14-98
32 63 31 64 32-63,31-64
17 96 18 95 17-96,18-95
36 97 35 97 36-97,35-97
28 28 27 75 28-28,27-75
4 98 3 99 4-98,3-99
19 19 19 32 19-19,19-32
18 98 18 95 18-98,18-95
5 98 6 97 5-98,6-97
11 79 11 11 11-79,11-11
11 87 10 88 11-87,10-88
3 88 3 4 3-88,3-4
23 60 22 84 23-60,22-84
22 84 21 94 22-84,21-94
24 88 10 92 24-88,10-92
29 89 29 29 29-89,29-29
11 11 11 93 11-11,11-93
10 99 10 98 10-99,10-98
12 58 12 91 12-58,12-91
37 61 37 62 37-61,37-62
22 67 7 68 22-67,7-68
41 90 40 90 41-90,40-90
18 81 17 82 18-81,17-82
19 51 18 89 19-51,18-89
61 70 61 63 61-70,61-63
15 20 13 21 15-20,13-21
24 55 23 74 24-55,23-74
5 58 5 15 5-58,5-15
31 65 32 64 31-65,32-64
6 70 5 70 6-70,5-70
51 83 51 82 51-83,51-82
69 83 69 81 69-83,69-81
72 73 15 73 72-73,15-73
2 85 3 3 2-85,3-3
16 91 17 81 16-91,17-81
16 16 16 65 16-16,16-65
1 1 1 28 1-1,1-28
32 99 32 97 32-99,32-97
6 31 6 81 6-31,6-81
39 67 39 79 39-67,39-79
6 96 5 99 6-96,5-99
32 74 33 73 32-74,33-73
3 88 2 90 3-88,2-90
66 66 66 66 66-66,66-66
15 94 69 93 15-94,69-93
49 50 49 78 49-50,49-78
18 67 18 68 18-67,18-68
31 92 30 93 31-92,30-93
3 58 4 57 3-58,4-57
30 75 30 76 30-75,30-76
12 94 93 93 12-94,93-93
4 86 59 85 4-86,59-85
17 95 17 17 17-95,17-17
11 99 12 97 11-99,12-97
11 52 12 47 11-52,12-47
23 96 24 95 23-96,24-95
49 54 49 55 49-54,49-55
10 51 9 51 10-51,9-51
15 31 14 61 15-31,14-61
2 4 4 4 2-4,4-4
2 98 11 97 2-98,11-97
35 54 3 55 35-54,3-55
15 94 16 74 15-94,16-74
63 92 63 91 63-92,63-91
54 75 54 65 54-75,54-65
37 72 37 72 37-72,37-72
18 44 17 44 18-44,17-44
2 93 3 80 2-93,3-80
91 91 90 93 91-91,90-93
27 96 27 92 27-96,27-92
45 71 45 45 45-71,45-45
78 79 77 84 78-79,77-84
40 72 41 63 40-72,41-63
67 94 67 93 67-94,67-93
42 43 41 94 42-43,41-94
87 93 18 94 87-93,18-94
34 96 35 75 34-96,35-75
17 44 16 45 17-44,16-45
9 48 8 88 9-48,8-88
42 64 42 63 42-64,42-63
57 70 58 62 57-70,58-62
62 69 61 81 62-69,61-81
21 74 21 73 21-74,21-73
13 58 13 58 13-58,13-58
7 73 7 7 7-73,7-7
11 57 11 58 11-57,11-58
12 98 11 99 12-98,11-99
38 39 37 43 38-39,37-43
16 66 15 67 16-66,15-67
26 33 27 29 26-33,27-29
37 63 44 62 37-63,44-62
84 98 87 92 84-98,87-92
26 76 25 79 26-76,25-79
1 99 99 99 1-99,99-99
7 93 7 93 7-93,7-93
16 72 17 44 16-72,17-44
4 91 4 90 4-91,4-90
81 86 81 81 81-86,81-81
18 99 75 87 18-99,75-87
17 59 18 59 17-59,18-59
25 83 25 25 25-83,25-25
57 62 57 63 57-62,57-63
36 85 37 79 36-85,37-79
26 28 26 28 26-28,26-28
79 87 79 87 79-87,79-87
4 56 3 57 4-56,3-57
43 92 29 93 43-92,29-93
47 78 47 79 47-78,47-79
11 61 11 75 11-61,11-75
7 48 7 44 7-48,7-44
25 76 24 76 25-76,24-76
51 61 50 77 51-61,50-77
59 83 59 83 59-83,59-83
2 52 1 53 2-52,1-53
14 84 15 83 14-84,15-83
11 89 11 90 11-89,11-90
15 89 16 85 15-89,16-85
75 89 75 79 75-89,75-79
30 78 31 31 30-78,31-31
4 67 4 95 4-67,4-95
38 52 39 39 38-52,39-39
11 91 11 91 11-91,11-91
36 55 14 56 36-55,14-56
71 94 17 95 71-94,17-95
85 86 39 86 85-86,39-86
72 94 71 97 72-94,71-97
29 30 29 95 29-30,29-95
26 26 26 96 26-26,26-96
87 87 34 87 87-87,34-87
24 47 25 33 24-47,25-33
58 94 58 94 58-94,58-94
2 84 2 85 2-84,2-85
30 87 29 87 30-87,29-87
9 90 9 89 9-90,9-89
4 45 5 27 4-45,5-27
24 94 23 95 24-94,23-95
63 69 63 68 63-69,63-68
47 79 47 78 47-79,47-78
31 78 31 67 31-78,31-67
22 22 22 23 22-22,22-23
36 70 36 70 36-70,36-70
41 41 41 90 41-41,41-90
5 5 4 66 5-5,4-66
27 37 28 32 27-37,28-32
39 75 40 75 39-75,40-75
21 82 22 81 21-82,22-81
45 59 28 60 45-59,28-60
24 24 24 93 24-24,24-93
6 88 6 88 6-88,6-88
80 81 80 86 80-81,80-86
4 94 3 94 4-94,3-94
14 71 13 75 14-71,13-75
8 82 7 87 8-82,7-87
19 96 22 84 19-96,22-84
21 94 22 94 21-94,22-94
27 82 33 81 27-82,33-81
47 71 48 66 47-71,48-66
21 33 22 25 21-33,22-25
32 71 32 71 32-71,32-71
29 83 17 84 29-83,17-84
42 75 41 75 42-75,41-75
5 95 5 95 5-95,5-95
94 94 67 94 94-94,67-94
46 97 47 96 46-97,47-96
22 90 21 90 22-90,21-90
36 79 36 36 36-79,36-36
12 80 12 80 12-80,12-80
35 36 34 38 35-36,34-38
15 93 22 93 15-93,22-93
85 95 86 94 85-95,86-94
8 29 7 34 8-29,7-34
